year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2018,102017,69311,32706,117490070,351993398,469483468,26450,8842,35292
2019,696246,591604,104642,204704986,1075458650,1280163636,66903,50292,117195
2024,5995943,2122526,3873417,5799699152,3201715002,9001414154,1842156,306740,2148896
2016,27629,3915,23714,28156814,8997757,37154571,16651,990,17641
2020,3193920,1344703,1849217,502538222,1482392925,1984931147,1471801,311365,1783166
2022,3642650,1807546,1835104,2239619891,2372448140,4612068031,828029,242798,1070827
2021,3230996,1757882,1473114,1799889316,2127809212,3927698528,716755,281413,998168
2025,8208255,2428461,5779794,10343051149,3563076109,13906127258,3165556,249388,3414944
2026,8603494,1201649,7401845,14152121639,2118643108,16270764747,836208,19479,855687
2015,3581,829,2752,18966444,4437170,23403614,94,22,116
2017,24019,5640,18379,31851232,11985390,43836622,12767,1186,13953
2023,4618286,2186136,2432150,4164650755,3242194848,7406845603,1489101,366505,1855606
