year,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2026,11527247,1602984,9924263,19056295705,2978920858,22035216563,1038677,21577,1060254
2025,97884423,22955259,74929164,144158997231,37850988379,182009985610,35646527,1794478,37441005
2024,81892378,26316839,55575539,88702822632,40065723712,128768546344,28761158,3394839,32155997
2023,67911658,27837346,40074312,65165178521,42487725509,107652904030,22325544,4541276,26866820
2022,47649749,23999582,23650167,36057961570,36661025294,72718986864,13589745,3702527,17292272
2021,42401371,20597664,21803707,24409206177,25955875578,50365081755,9581743,3627056,13208799
2020,41190446,18689557,22500889,21050666729,20084568756,41135235485,11352355,3264323,14616678
2019,20628507,13441022,7187485,4264870093,15587127014,19851997107,4673928,2025783,6699711
2018,4317842,3366850,950992,2016267241,6686319692,8702586933,541373,173800,715173
2017,593048,289394,303654,584287433,1173680480,1757967913,224313,36764,261077
2016,404445,42776,361669,340367847,102563933,442931780,271659,9608,281267
2015,112492,14952,97540,219092716,55412297,274505013,70210,2411,72621
